DOVIZ CINSI,AÇIKLAMASI
DEM,ALMAN MARKI
ALT,ALTIN KURU
USD,AMERİKA BİRLEŞİK DEVLETLERİ DOLARI
AWG,ARUBAN GULDENİ
EUR,Avrupa Topluluğu Para Birimi
AUD,AVUSTRALYA DOLARI
ATS,AVUSTURYA ŞİLİN
BSD,BAHAMA DOLARI
BHD,BAHREYN DİNARI
BDT,BANGLADEŞ TAKASI
BEF,Belçika Frangı
BMD,BERMUDA DOLARI
BWP,BOTSVANA PULASI
BGN,BULGAR LEVASI
BIF,BURUNDİ FRANGI
BND,BURUNEİ DOLARI
DZD,CEZAYİR DİNARI
XAF,CFA FRANGI
XOF,CFA FRANGI
XPF,CFP FRANGI
CZK,ÇEK KORUNASI
CNY,Çin Yuanı
DKK,DANİMARKA KRONU
DJF,DJİBOUTİ FRANGI
AMD,ERMENİSTAN DRAHMİSİ
MAD,FAS DİRHEMİ
FJD,FİJİ DOLARI
PHP,FİLİPİN PEZOSU
FIM,FİN MARKKASI
FRF,FRANSIZ FRANGI
ZAR,G. AFRİKA PARASI
GIP,GIBRALTAR POUNDU
INR,HİNDİSTAN RUPESİ
ANG,HOLLANDA ANTİLLERİ GULDENİ
NLG,HOLLANDA FLORİNİ
HKD,HONG KONG
IOD,IRAK DİNARI
IQD,IRAK DİNARI
SEK,ISVEÇ KRONU
GBP,İNGİLİZ STERLİNİ
IRR,İRAN RİYALİ
IEP,İRLANDA LİRASI
ESP,İSPANYOL PEZETASI
CHF,İSVİÇRE FRANGI
ITL,İTALYAN LİRETİ
JPY,JAPON YENİ
CAD,KANADA DOLARI
QAR,KATAR RİYALİ
TEN,Kazakistan
KES,KENYA ŞİLİNİ
CYP,KIBRIS POUNDU
KMF,KOMORO FRANGI
KRW,KORE WONU
KWD,KUVEYT DİNARI
KPW,KUZEY KORE WONU
LSL,LESOTHO LOTİSİ
LRD,LİBERYA DOLARI
LYD,LİBYA DİNARI
LBP,LÜBNAN POUNDU
LUF,LÜKSEMBURG FRANGI
HUF,MACAR FORİNTİ
MOP,MAKAO PATACASI
MYR,MALEZYA RİNGİTİ
MTL,MALTA LİRASI
MTP,MALTA PONDU
MUR,MAURİTİUS RUPEESİ
MXP,MEKSİKA POUNDU
MMK,MEYANMAR KİYATI
EGP,MISIR POUNDU
MRO,MORİTANYA OUGUİYA
MZM,MOZAMBİK METİKALİ
NAD,NAMİBYA DOLARI
NOK,NORVEÇ KRONU
PKR,PAKİSTAN RUPEESİ
PGK,PAPUA YENİ GİNE KİNASI
PLN,POLONYA ZLOTİSİ
PTE,PORTEKİZ ESKÜDOSU
RON,RUMEN LEYİ
RUB,RUS RUBLESİ
WST,SAMUA TALASI
SCR,SEYŞEL RUPEESİ
SGD,SİNGAPUR DOLARI
LKR,SİRİLANKA RUPEESİ
SKK,SLOVAK KORUNASI
SIT,SLOVENYA DOLARI
SBD,SOLOMON ADALARI DOLARI
SOS,SOMALİ ŞİLİNİ
SDD,SUDAN DİNARI
SYP,SURİYE LİRASI
SAR,SUUDİ ARABİSTAN RİYALİ
SZL,SWAZILAND LİLANGELİ
TWD,TAIWAN DOLARI
TZS,TANZANYA ŞİLİNİ
THB,TAYLAND BAHTI
TOP,TONGA PA'ANGASI
TND,TUNUS DİNARI
TRL,TÜRK LİRASI
TRY,TÜRK LİRASI
TMM,Türkmenistan Maratı
TUT,TÜTÜN FONU DÖVİZ KURU (USD - ALIŞ)
AED,UAE DIRAHMİSİ
UGS,UGANDA ŞİLİNİ
UAH,Ukraine Hryvnia
OMR,UMMAN RİYALİ
UYP,URUGUAY PEZOSU
UZS,Uzbekistan Sumu
JOD,ÜRDÜN DİNARI
VUV,VANUATU VATUSU
VEB,Venezuella
YDD,YEMEN DİNARI
YER,YEMEN RİYALİ
YKR,YENİ TÜRK KURUŞU
YTL,YENİ TÜRK LİRASI
NZD,YENİ ZELENDA
GRD,YUNAN DRAHMİSİ
ZRZ,ZAİRE ZAİRESİ
ZWD,ZİMBABVE DOLARI