;;;;
;Sigorta Primi İşveren Hissesi;2 Yıl ve En Fazla Yatırım Tutarının %10'lu (1. Bölge);;
;Sigorta Primi İşveren Hissesi;3 Yıl ve En Fazla Yatırım Tutarının %15'i (2. Bölge);;
;Sigorta Primi İşveren Hissesi;5 Yıl ve En Fazla Yatırım Tutarının %20'si (3. Bölge);;
;Sigorta Primi İşveren Hissesi;6 Yıl ve En Fazla Yatırım Tutarının %25'i (4. Bölge);;
;Sigorta Primi İşveren Hissesi;7 Yıl ve En Fazla Yatırım Tutarının %35'i (5. Bölge);;
;Sigorta Primi İşveren Hissesi;10 Yıl  (6. Bölge);;
;Sigorta Primi İşveren Hissesi;7 Yıl ve En Fazla Yatırım Tutarının %15'i (Stratejik);;
;Sigorta Primi İşveren Hissesi;7 Yıl (Hamle);;
;Gelir Vergisi Stopaj Desteği;10 Yıl;;
;Sigorta Prim Desteği;10 Yıl 6. Bölge;;
;Sigorta Prim Desteği;7 Yıl (Hamle Yüksek Teknoloji);;
;Sigorta Prim Desteği;5 Yıl (Hamle);;
;Vergi İndirimi;Yatırıma Katkı Oranı:%15 - Vergi İndirim %50 (1. Bölge);;
;Vergi İndirimi;Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge);;
;Vergi İndirimi;Yatırıma Katkı Oranı:%25 - Vergi İndirim %60 (3. Bölge);;
;Vergi İndirimi;Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge);;
;Vergi İndirimi;Yatırıma Katkı Oranı:%40 - Vergi İndirim %80 (5. Bölge);;
;Vergi İndirimi;Yatırıma Katkı Oranı:%50 - Vergi İndirim %90 (6. Bölge);;
;Vergi İndirimi;Yatırıma Katkı Oranı:%50 - Vergi İndirim %90 (Stratejik);;
;Gümrük Vergisi Muafiyeti;Var - Ayrıca İthal Listeye Bakınız;;
;Gümrük Vergisi Muafiyeti;Yok;;
;KDV İstisnası;Var - Ayrıca Yerli  Listeye Bakınız;;
;Yatırım Yeri Tahsisi;Yok;;
;Yatırım Yeri Tahsisi;Var;;
;Faiz Desteği;TL 3 Puan - Döviz 1 Puan (En Fazla 1 Milyon TL yararlanılır)(3. Bölge);;
;Faiz Desteği;TL 4 Puan - Döviz 1 Puan (En Fazla 1.2 Milyon TL yararlanılır)(4. Bölge);;
;Faiz Desteği;TL 5 Puan - Döviz 2 Puan (En Fazla 1.4 Milyon TL yararlanılır)(5. Bölge);;
;Faiz Desteği;TL 7 Puan - Döviz 2 Puan (En Fazla 1.8 Milyon TL yararlanılır) (6. Bölge);;
;Faiz Desteği;TL 10 Puan - Döviz 2 Puan (En Fazla Yatırımın %20'si ve 75 Milyon TL yararlanılır) (Hamle Yüksek TEknoloji);;
;Faiz Desteği;TL 8 Puan - Döviz 2 Puan (En Fazla Yatırımın %20'si ve 75 Milyon TL yararlanılır) (Hamle);;
;Faiz Desteği;TL 8 Puan - Döviz 2 Puan (En Fazla Yatırımın %20'si ve 75 Milyon TL yararlanılır) (Hamle);;
;Faiz Desteği;TL 5 Puan - Döviz 2 Puan (En Fazla Yatırımın %10'u ve 5 Milyon TL yararlanılır)(Stratejik);;
;Faiz Desteği;TL 5 Puan - Döviz 2 Puan (En Fazla Yatırımın %10'u ve 10 Milyon TL yararlanılır)(Bölgesel Öncelik 17-1- aa) ve bb));;
;Faiz Desteği;TL 7 Puan - Döviz 3 Puan (En az 1.8 Milyon, En Fazla Yatırımın %10 yararlanılır) (Bölgesel Öncelik 17-1-t);;
;KDV İadesi;Var;;